"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","bookStoreDownHealthCheck","Default suite","Sat Jul 26 12:08:12 IST 2025","skipped","Sat Jul 26 12:08:12 IST 2025","com.bookstore.api.tests.health.HelathCheckTest","Default test","com.bookstore.api.tests.health.HelathCheckTest","bookStoreDownHealthCheck"
"","27","apiHealthCheck","Default suite","Sat Jul 26 12:05:10 IST 2025","passed","Sat Jul 26 12:05:10 IST 2025","com.bookstore.api.tests.health.HelathCheckTest","Default test","com.bookstore.api.tests.health.HelathCheckTest","apiHealthCheck"
"CreateBook the Book... ","43","createABookDataDrivenTest","Default suite","Sat Jul 26 07:00:51 IST 2025","broken","Sat Jul 26 07:00:51 IST 2025","com.bookstore.api.tests.book.CreateBookTest","Default test","com.bookstore.api.tests.book.CreateBookTest","createABookDataDrivenTest"
"","42","getBookWithInvalidBookId","FAST-API: BookStore API – Regression Test Suite","Fri Jul 25 23:01:40 IST 2025","passed","Fri Jul 25 23:01:40 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getBookWithInvalidBookId"
"","15","getBookWithExpiredTokenTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getBookWithExpiredTokenTest"
"Getting the Book from Test Data... ","17","getABookTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getABookTest"
"","18","loginUserInvalidUserTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:20 IST 2025","passed","Sun Jul 27 20:25:20 IST 2025","com.bookstore.api.tests.user.LoginUserTest","User API Test - Login","com.bookstore.api.tests.user.LoginUserTest","loginUserInvalidUserTest"
"","30","createABookTestInvalidPayloadTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.CreateBookTest","Book API Test - Create Book","com.bookstore.api.tests.book.CreateBookTest","createABookTestInvalidPayloadTest"
"","27","createInvalidBook","FAST-API: BookStore API – Regression Test Suite","Fri Jul 25 23:01:40 IST 2025","passed","Fri Jul 25 23:01:40 IST 2025","com.bookstore.api.tests.book.CreateBookTest","Book API Test - Create Book","com.bookstore.api.tests.book.CreateBookTest","createInvalidBook"
"Getting the Book from Test Data... ","15","getABookTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getABookTest"
"","17","createUserEmptyJson","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:19 IST 2025","passed","Sun Jul 27 20:25:19 IST 2025","com.bookstore.api.tests.user.CreateUserTest","User API Test - Create User","com.bookstore.api.tests.user.CreateUserTest","createUserEmptyJson"
